ROM_ADDR,MI,LO
0,3c*,00*,
1,3f*,00*,
2,0a*,20*,
3,88*,00*,
4,02*,01*,
5,---,---
6,---,---
7,---,---
8,---,---
9,---,---
a,---,---
b,---,---
c,---,---
d,---,---
e,---,---
f,---,---
10,0a*,20*,
11,88*,00*,
12,3c*,00*,
13,3f*,00*,
14,0a*,20*,
15,8c*,00*,
16,0a*,20*,
17,80*,00*,
18,02*,02*,
19,---,---
1a,---,---
1b,---,---
1c,---,---
1d,---,---
1e,---,---
1f,---,---
20,0a*,20*,
21,88*,00*,
22,3c*,00*,
23,3f*,00*,
24,0a*,20*,
25,8c*,00*,
26,4a*,00*,
27,82*,10*,
28,02*,02*,
29,---,---
2a,---,---
2b,---,---
2c,---,---
2d,---,---
2e,---,---
2f,---,---
30,02*,08*,
31,---,---
32,---,---
33,---,---
34,---,---
35,---,---
36,---,---
37,---,---
38,---,---
39,---,---
3a,---,---
3b,---,---
3c,---,---
3d,---,---
3e,---,---
3f,---,---
40,0a*,20*,
41,88*,00*,
42,3c*,00*,
43,0a*,20*,
44,fe*,00*,
45,02*,02*,
46,---,---
47,---,---
48,---,---
49,---,---
4a,---,---
4b,---,---
4c,---,---
4d,---,---
4e,---,---
4f,---,---
50,0a*,20*,
51,88*,00*,
52,50*,40*,
53,02*,02*,
54,---,---
55,---,---
56,---,---
57,---,---
58,---,---
59,---,---
5a,---,---
5b,---,---
5c,---,---
5d,---,---
5e,---,---
5f,---,---
60,3c*,00*,
61,0a*,20*,
62,be*,00*,
63,02*,02*,
64,---,---
65,---,---
66,---,---
67,---,---
68,---,---
69,---,---
6a,---,---
6b,---,---
6c,---,---
6d,---,---
6e,---,---
6f,---,---
70,0a*,20*,
71,88*,00*,
72,41*,00*,
73,02*,02*,
